"tempi","hum","wdird","wdire","wgusti","precipi","rain","conds","weatherTime","shotId"
"81.0","67","110","ESE","-9999.0","-9999.00","0","Clear",955,"33448-420-715-3-5-1"
"81.0","67","110","ESE","-9999.0","-9999.00","0","Clear",955,"33448-420-715-3-5-2"
"81.7","65","0","North","-9999.0","-9999.00","0","Clear",1015,"33448-420-715-3-5-3"
"81.7","65","0","North","-9999.0","-9999.00","0","Clear",1015,"33448-420-715-3-5-4"
"81.7","65","0","North","-9999.0","-9999.00","0","Clear",1015,"33448-420-715-3-6-1"
"81.7","65","0","North","-9999.0","-9999.00","0","Clear",1015,"33448-420-715-3-6-2"
"81.7","65","0","North","-9999.0","-9999.00","0","Clear",1015,"33448-420-715-3-6-3"
"81.7","65","0","North","-9999.0","-9999.00","0","Clear",1015,"33448-420-715-3-6-4"
"81.7","65","0","North","-9999.0","-9999.00","0","Clear",1015,"33448-420-715-3-7-1"
"81.7","65","0","North","-9999.0","-9999.00","0","Clear",1015,"33448-420-715-3-7-2"
"82.4","62","0","North","-9999.0","-9999.00","0","Clear",1035,"33448-420-715-3-7-3"
"82.4","62","0","North","-9999.0","-9999.00","0","Clear",1035,"33448-420-715-3-7-4"
"82.4","62","0","North","-9999.0","-9999.00","0","Clear",1035,"33448-420-715-3-8-1"
"82.4","62","0","North","-9999.0","-9999.00","0","Clear",1035,"33448-420-715-3-8-2"
"82.4","62","0","North","-9999.0","-9999.00","0","Clear",1035,"33448-420-715-3-8-3"
"82.4","62","0","North","-9999.0","-9999.00","0","Clear",1035,"33448-420-715-3-8-4"
"82.4","62","0","North","-9999.0","-9999.00","0","Clear",1035,"33448-420-715-3-8-5"
"84.4","59","0","North","-9999.0","-9999.00","0","Scattered Clouds",1055,"33448-420-715-3-9-1"
"84.4","59","0","North","-9999.0","-9999.00","0","Scattered Clouds",1055,"33448-420-715-3-9-2"
"84.4","59","0","North","-9999.0","-9999.00","0","Scattered Clouds",1055,"33448-420-715-3-9-3"
"84.4","59","0","North","-9999.0","-9999.00","0","Scattered Clouds",1055,"33448-420-715-3-9-4"
"84.0","58","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1115,"33448-420-715-3-10-1"
"84.0","58","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1115,"33448-420-715-3-10-2"
"84.0","58","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1115,"33448-420-715-3-10-3"
"84.0","58","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1115,"33448-420-715-3-10-4"
"84.0","58","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1115,"33448-420-715-3-11-1"
"84.0","58","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1115,"33448-420-715-3-11-2"
"84.0","58","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1115,"33448-420-715-3-11-3"
"84.0","58","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1115,"33448-420-715-3-11-4"
"84.0","58","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1115,"33448-420-715-3-11-5"
"84.6","57","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1135,"33448-420-715-3-12-1"
"84.6","57","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1135,"33448-420-715-3-12-2"
"84.6","57","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1135,"33448-420-715-3-12-3"
"84.6","57","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1135,"33448-420-715-3-13-1"
"84.6","57","0","North","-9999.0","-9999.00","0","Mostly Cloudy",1135,"33448-420-715-3-13-2"
