"course","link","hole","hole_lat","hole_lon","hole_z","tee_lat","tee_lon","tee_z","midpt1_lat","midpt1_lon","midpt1_z","midpt2_lat","midpt2_lon","midpt2_z"
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","17","32.394989339499","-90.092571309257","282.803366792297","32.393184839319","-90.089234108923","281.525868691406","32.394410639441","-90.091542609154","278.714631957092",NA,NA,NA
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","18","32.396511239651","-90.097581609758","289.39388230011","32.395211639521","-90.093113109311","279.051772108765","32.395887539589","-90.095719509572","280.469292632141",NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","1","37.723225672323","-122.49082044908","66.3885065232086","37.726084072608","-122.49315144932","62.4123665864563","37.724238172424","-122.49141174914","77.7545400655365","","",NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","2","37.720775872078","-122.48807994881","85.4266311668396","37.723625272363","-122.49068634907","75.0354855937195","37.721861272186","-122.48881434888","78.8341319663239",NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","3","37.719333171933","-122.4879566488","97.0952122637939","37.720779472078","-122.48862174886","83.6175785139465",NA,NA,NA,NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","4","37.723079872308","-122.48707644871","86.8956463503265","37.71840347184","-122.48777394878","98.621072445755","37.720484272048","-122.48641044864","93.2461663295746","37.722441772244","-122.48672634867","87.1233705180359"
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","5","37.72059677206","-122.48710164871","86.4701661674499","37.723792672379","-122.48733114873","90.8428819445038","37.721490472149","-122.48733654873","87.0418013243866",NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","6","37.723240072324","-122.48951184895","72.7059107239533","37.720024372002","-122.48727264873","85.8008106784821","37.722237472224","-122.48824734882","85.440904993515",NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","7","37.720541872054","-122.48905104891","81.5328676677704","37.72289897229","-122.49076194908","67.7902576282501","37.721287972129","-122.48932104893","80.532460774765",NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","8","37.721235772124","-122.49055224906","75.1766156301117","37.720072972007","-122.48907714891","87.0931019956207",NA,NA,NA,NA,NA,NA
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","9","37.724869972487","-122.49290214929","58.5393223509216","37.721384272138","-122.490015849","71.7936373578644","37.723258972326","-122.49179514918","70.2111073931885","37.724547772455","-122.49271404927","61.2702539481354"
"TPC Harding Park","http://www.provisualizer.com/courses/tpchardingpark.php","10","37.726209172621","-122.4870386487","84.7242537649536","37.726109272611","-122.49278154928","60.6548273667908","37.7259994726","-122.48987364899","77.0192784202576","37.726030072603","-122.48763894876","79.674848467865"
